SMILES,Mor28p,Mor04m,Mor25u,R5s+,Eig07_AEA(dm),pIC50
1,-0.2778,-0.4071,1.422,0.1779,1.996,7.657577319
2,-0.2304,0.43755,1.1755,0.17045,1.801,8.13667714
3,-0.3306,-0.5864,1.2195,0.1377,1.647,7.619788758
4,-0.3388,-0.5219,1.296,0.1081,1.337,6.657577319
5,-0.3299,-0.5289,1.2605,0.1104,1.337,7.173925197
6,-0.2616,0.02142,1.719,0.1414,1.57,6.468521083
7,-0.3365,-0.5972,1.206,0.1418,1.647,7.022276395
8,-0.2939,-0.4609,1.197,0.1542,1.996,8.37675071
9,-0.3701,0.08155,1.191,0.06327,1.216,6.397940009
10,-0.281,0.5184,1.038,0.1175,1.324,7.677780705
11,-0.3491,-0.2557,1.176,0.1316,1.338,6.677780705
12,-0.2655,0.1741,1.107,0.214,1.801,7.795880017
13,-0.3693,-0.7627,1.209,0.09733,1.562,6.443697499
14,-0.1918,0.9412,1.137,0.2386,1.714,7.920818754
15,-0.2945,-0.3561,1.184,0.1422,1.327,6.769551079
16,-0.3412,-0.2104,1.473,0.1177,1.418,5.958607315
17,-0.321,-0.5359,1.225,0.1127,1.337,7.522878745
18,-0.3897,-0.3798,1.264,0.1433,1.438,6.443697499
19,-0.1968,0.6343,1.262,0.6752,1.805,5.744727495
20,-0.2991,-0.7897,1.255,0.222,1.769,7.769551079
21,-0.2339,0.5937,1.215,0.1953,1.801,7.958607315
22,-0.4181,0.6738,1.098,0.09771,1.699,6.37675071
23,-0.3247,-0.5756,1.233,0.1336,1.647,7.920818754
24,-0.4118,-0.4979,1.483,0.102,1.36,5.27572413
