SN,pIC50,TDB03i,HATS5e,Mor18v,TDB01r,ChiA_B(m)
23,6.333,3.76,0.2357,-1.067,1.017,0.2664
28,6.023,3.784,0.2382,-1.059,0.9969,0.2677
26,5.943,3.754,0.2346,-1.069,1.028,0.2647
25,5.877,3.77,0.241,-1.226,1.047,0.2636
33,5.838,3.784,0.2373,-1.116,1.007,0.2654
29,5.789,3.784,0.2416,-1.083,0.9969,0.2677
27,5.752,3.754,0.2411,-1.103,1.028,0.2647
34,5.716,3.784,0.2274,-1.127,1.007,0.2654
2,5.713,3.798,0.3354,-1.21,1.06,0.2606
4,5.711,3.816,0.3424,-1.191,1.101,0.2573
37,5.707,3.749,0.2374,-1.089,1.005,0.2673
24,5.706,3.759,0.2442,-1.234,1.017,0.2665
22,5.705,3.748,0.23,-1.127,0.9879,0.2694
7,5.68,3.839,0.3364,-1.209,1.031,0.2623
5,5.665,3.788,0.3349,-1.206,1.074,0.2585
35,5.65,3.767,0.2634,-1.133,1.005,0.2659
30,5.635,3.743,0.2359,-1.092,0.9787,0.2696
12,5.627,3.836,0.3227,-1.235,1.042,0.26
8,5.589,3.84,0.3411,-1.215,1.031,0.2623
31,5.548,3.743,0.225,-1.139,0.9787,0.2696
32,5.521,3.739,0.2247,-1.081,0.9705,0.2699
13,5.495,3.835,0.3116,-1.214,1.042,0.26
15,5.417,3.78,0.3408,-1.225,1.041,0.2621
16,5.405,3.78,0.3385,-1.196,1.041,0.2621
1,5.393,3.779,0.335,-1.212,1.019,0.2642
38,5.329,3.736,0.2242,-1.118,0.9795,0.2687
39,5.23,3.736,0.2313,-1.142,0.9795,0.2688
14,5.215,3.808,0.3769,-1.221,1.04,0.2608
40,5.146,3.723,0.1929,-1.177,0.9653,0.2696
17,4.828,3.757,0.3113,-1.244,1.005,0.2636
18,4.771,3.757,0.3021,-1.311,1.005,0.2637
41,4.535,3.727,0.2468,-1.462,1.001,0.2657
